x,y,n
40.04252347,60.52450308,The Twits (Puffin Novels)
41.08002973,60.15929369,The Giant's House : A Romance
32.70550562,59.88385725,Animal Dreams
42.39207852,59.5420477,All-American Girl
43.15391342,59.2511321,Conversations with God : An Uncommon Dialogue (Book 1)
50.39765622,58.68653815,Drums of Autumn
33.48479393,58.3382575,The Outsiders
45.02864804,58.2324529,Gentle Rogue (Malory Novels (Paperback))
45.3246089,58.20977697,Gracie: A Love Story
50.05505689,58.20141658,Sunshine: A Novel (An Avon/Flare Book)
33.44960334,58.18961251,Midnight Runner
46.98356891,58.17007532,Love Story
48.98610696,58.09416384,A Penny Urned (Den of Antiquity)
49.65662211,57.91076037,Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them
49.92744325,57.84359474,Mill on the Floss (Penguin Classics)
50.12043113,57.65351198,Baroque and Desperate (Den of Antiquity)
37.20463299,57.41457615,Harry Potter and the Prisoner of Azkaban (Book 3)
33.67298494,56.92485833,Story of O
57.7337973,56.73253121,Memoirs of a Geisha
57.91928225,55.99325325,Bet Me
32.82936476,55.9314885,Silent Prey
33.23833304,55.52718886,In the Garden of Iden (A Novel of the Company
40.10109205,55.12208674,Harry Potter and the Goblet of Fire (Book 4)
40.14707927,55.08208642,Harry Potter and the Prisoner of Azkaban (Book 3)
30.13692906,55.01882085,Fast Food Nation
40.29605959,54.94734434,Harry Potter and the Chamber of Secrets (Book 2)
35.42432136,54.94455386,Dubliners
33.40439175,54.38350368,Rose Daughter
30.83843391,54.33759063,A Break with Charity: A Story about the Salem Witch Trials
58.74460061,54.04800763,On the Occasion of My Last Afternoon
58.30114351,53.70169676,The Tall Pine Polka
46.00090541,53.59500009,The Last Girls (Ballantine Reader's Circle)
45.97112577,53.59488908,Return of the Jedi (Star Wars)
57.34292767,53.5705418,Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker)
43.7141783,53.0661287,Empire Strikes Back Wars
58.72225647,52.75791947,Asking for Trouble: A Novel
38.28854688,51.63759671,Cold Comfort Farm (Essential.penguin S.)
43.21552629,51.50150948,Divine Secrets of the Ya-Ya Sisterhood : A Novel
43.1623732,51.44603695,Mr. Ives' Christmas
49.94243139,51.42741523,Things Fall Apart : A Novel
33.41287087,51.24553788,Dying to Please
49.74619216,51.13541176,Invasion of Privacy
33.27543068,51.01323956,An Underachiever's Diary
37.43638601,50.63067138,The Big Bad Wolf: A Novel
38.18576576,50.48908076,Powers That Be
38.77835147,50.46429658,The Hobbit : The Enchanting Prelude to The Lord of the Rings
32.94440569,50.28820622,Die in Plain Sight
49.13079603,50.25048489,Ransom (Steel
38.02623119,50.00671828,English Passengers
48.57299283,49.55694616,The Spirit Catches You and You Fall Down
32.43599221,49.32518139,The Simple Truth
54.45931218,48.88881262,Sleepers
53.71027556,48.2102346,The Dim Sum of All Things
42.2942358,47.83245161,Circus of the Damned (Anita Blake Vampire Hunter (Paperback))
53.16907895,47.74384014,The Botany of Desire: A Plant's-Eye View of the World
52.69938366,47.5181243,Little Green Men : A Novel
41.48219721,47.4978025,All the Pretty Horses (Border Trilogy
39.23211441,47.42325196,Betsy-Tacy (Betsy-Tacy)
41.33857159,47.32771012,Confessions of an Ugly Stepsister
58.29278038,47.09149375,Frankenstein: Or
34.00899115,46.59834894,Immortal in Death
36.16292636,46.21232908,The Apprentice
33.79827993,46.15275179,Patriot Games
46.13256713,46.1035666,I Dreamed of Africa
46.14953151,46.07646788,I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It
30.66036446,46.0488594,Dracula (Penguin Popular Classics)
36.7679362,45.94733534,Salamandastron (Redwall
38.06668074,45.48745165,Shadow Baby (Today Show Book Club #14)
39.53563747,43.95581516,October Sky: A Memoir
38.92415863,43.89822695,The Winter of Our Discontent (Penguin Twentieth-Century Classics)
57.71988488,43.85370507,Watermelon
57.43576763,43.68106356,Sense and Sensibility (Penguin Popular Classics)
48.53433365,43.63884598,Complicity
44.15675384,43.6213821,Well Favored Gentleman (Avon Historical Romance)
50.63523169,43.4913927,Summer Sisters
38.5992411,43.38730086,Hidden Agendas (Tom Clancy's Net Force
43.94668193,43.3741129,Bee Season
50.39529583,43.29187796,The Chamber
33.69500939,43.15571603,River God
49.11518584,42.98984812,Stuck on You (Avon Romance)
52.4031935,42.85445856,Are You There God?  It's Me
52.97219577,42.7358222,A Time to Kill
33.88323366,42.65799545,Those Who Hunt the Night
54.83561831,42.63098218,Angle of Repose (Contemporary American Fiction)
43.10165457,42.32120796,With a Tangled Skein (Incarnations of Immortality (Paperback))
48.591498,41.93180106,The A.B.C. Murders
34.33903047,41.59838548,Vet in harness
30.78353494,41.18116419,Bad Business
48.41565017,41.12679295,To Kill a Mockingbird
34.94489731,40.93785902,Black Creek Crossing (Saul
35.37630394,40.84746428,Waking the Moon
39.04839205,40.1042837,My Side of the Mountain
44.35339813,39.42689665,On Death 
39.7656914,39.34248037,Silence of the Lambs
44.65579305,39.3356478,The Lost Continent: Travels in Small-Town America
40.11284865,39.25763101,Help the Poor Struggler
41.10115149,39.06993173,The Spirit Woman
35.29703546,39.05905649,The Hobbit (Leatherette Collector's Edition)
57.6742045,38.91011619,Charlie and the Chocolate Factory (Puffin Novels)
31.70430763,38.87903455,East of Eden
49.24362352,38.51403516,Reunion in Death
49.69850482,38.50710388,A Yellow Raft in Blue Water
58.10560053,38.20263282,The Power of One
30.34079457,38.02944792,Just Me and My Dad (Golden Look-Look Book)
48.17669933,37.99781721,Glory in Death
31.52233403,37.9857445,Betsy and Tacy Go Over the Big Hill (Betsy-Tacy)
31.17666563,37.92575794,Setting Free the Bears
32.18761537,37.69454639,Plain and Simple : A Journey to the Amish (Ohio)
52.52383837,37.67530627,Night Fire
37.00201592,37.60283806,Down and Out in Paris and London
58.76852753,37.45065553,The Transall Saga
59.17518695,37.07696844,The Red Tent (Bestselling Backlist)
37.28467753,36.64651447,Mirror Mirror: A Novel
37.32461305,36.46746594,The Power of One
43.12783533,36.18893037,Chain Letter (Avon Camelot Books (Paperback))
33.70693765,36.16326028,I Thought My Father Was God: And Other True Tales from NPR's National Story Project
40.06385576,35.91947247,I Will Fear No Evil
33.91380687,35.30188912,That Was Then
55.31629884,35.23674537,The Gift
55.23669288,35.12909807,Welcome to the Monkey House
44.30236468,34.92878767,The Last Continent (Discworld Novels (Paperback))
44.63725581,34.70670925,Outfoxed
46.01647009,34.66463663,Matilda
51.03954971,34.64908938,Havana Bay
31.39435345,34.63641779,The One Minute Manager
48.46868633,34.16570245,Drums of Autumn
45.58170068,34.09124293,The Floating Girl
31.47719216,34.02951005,The Acid House
37.26333488,33.72888895,The Cold Truth
47.09706524,33.72714643,White Oleander : A Novel
54.27172937,33.70200175,More Tales of the City (Maupin
37.89237893,33.69368022,Plainsong (Vintage Contemporaries)
38.55328961,33.63110348,The Notebook
36.73430654,33.5873564,The Ghost of Hannah Mendes
31.69078001,33.23444424,And the Band Played on: Politics
45.59764802,33.00083133,Hard Time (V.I. Warshawski Novels (Paperback))
41.48845614,32.82706471,Cold Sassy Tree
41.42661923,32.80777932,The Memoirs of Cleopatra: A Novel
33.88378704,32.71529389,The Last Report on the Miracles at Little No Horse
45.4344229,32.36561325,I Capture the Castle
58.54340375,32.05379607,The Deep End of the Ocean (Oprah's Book Club)
51.41756789,32.01638957,The Killer Angels
58.46233881,32.00574364,Tortilla Flat
32.04105402,31.90870247,Dune to Death (Bed-And-Breakfast Mysteries (Paperback))
52.56675256,31.63811962,Last Chance Saloon
51.60740748,31.54584372,Love By Design
51.32412242,30.93212833,What Looks Like Crazy On An Ordinary Day
44.44873399,30.8394002,Cold Comfort Farm
30.92103704,30.63621269,All the Weyrs of Pern (Dragonriders of Pern (Paperback))
54.98908012,30.62367138,Watchers
36.02499307,30.46541196,Lullaby: A Novel
35.99485232,30.42109362,Birds of Prey
31.7941053,30.13903129,Heartwood
38.90991011,30.12632743,The Vanished Child
40.21935715,30.12428294,Silence of the Hams (Jane Jeffry Mysteries (Paperback))
