date	IE	Chrome	Firefox	Safari	Opera
11-Oct-13	41.62	22.36	25.58	9.13	1.22
11-Oct-14	41.95	22.15	25.78	8.79	1.25
11-Oct-15	37.64	24.77	25.96	10.16	1.39
11-Oct-16	37.27	24.65	25.98	10.59	1.44
11-Oct-17	42.74	21.87	25.01	9.12	1.17
11-Oct-18	42.14	22.22	25.26	9.1	1.19
11-Oct-19	41.92	22.42	25.3	9.07	1.21
11-Oct-20	42.41	22.08	25.28	8.94	1.18
11-Oct-21	42.74	22.23	25.19	8.5	1.25
11-Oct-22	36.95	25.45	26.03	10.06	1.42
11-Oct-23	37.52	24.73	25.79	10.46	1.43
11-Oct-24	42.69	22.14	24.95	8.98	1.15
11-Oct-25	42.31	22.26	25.1	9.04	1.2
11-Oct-26	42.22	22.28	25.17	9.08	1.16
11-Oct-27	42.62	22.36	24.98	8.8	1.15
11-Oct-28	42.76	22.36	25.05	8.55	1.19
11-Oct-29	38.92	24.36	25.34	9.99	1.3
11-Oct-30	38.06	24.58	25.63	10.26	1.39
11-Oct-31	42.1	22.45	25.18	8.97	1.2
11-Nov-1	41.05	23	25.51	9.14	1.21
11-Nov-2	41.26	23.22	25.22	9.03	1.18
11-Nov-3	41.21	23.5	24.99	9.01	1.2
11-Nov-4	41.64	23.21	25.05	8.78	1.23
11-Nov-5	37.13	25.68	25.46	10.29	1.35
11-Nov-6	35.97	25.88	25.85	10.78	1.43
11-Nov-7	41.41	23.06	24.95	9.33	1.17
11-Nov-8	41.69	23.09	24.86	9.1	1.17
11-Nov-9	41.32	23.11	25.13	9.12	1.22
11-Nov-10	41.3	23.33	25.12	8.92	1.24
11-Nov-11	40.68	23.8	25.24	8.96	1.23
11-Nov-12	37.02	26.11	25.4	10.09	1.3
11-Nov-13	36.95	25.88	25.48	10.27	1.34
11-Nov-14	41.76	23.15	24.82	9.05	1.14
11-Nov-15	41.54	23.17	24.96	9.09	1.16
11-Nov-16	41.88	23.1	24.88	8.87	1.18
11-Nov-17	42.07	22.97	24.94	8.75	1.19
11-Nov-18	42.26	22.97	25.02	8.44	1.21
11-Nov-19	37.89	25.56	25.29	9.87	1.32
11-Nov-20	37.22	25.34	25.6	10.37	1.4
11-Nov-21	42.06	22.93	24.9	8.87	1.15
11-Nov-22	42.27	23	24.83	8.65	1.17
11-Nov-23	41.64	23.48	24.99	8.59	1.22
11-Nov-24	40.29	24.33	25.28	8.64	1.35
11-Nov-25	40.75	23.67	25.34	8.83	1.3
11-Nov-26	38.82	24.92	24.88	10.03	1.27
11-Nov-27	38	25.17	25.26	10.1	1.37
11-Nov-28	42.31	22.51	24.82	9.1	1.17
11-Nov-29	41.85	22.91	24.99	8.93	1.22
11-Nov-30	41.19	23.4	25.06	9.11	1.16
11-Dec-1	41.25	23.61	24.98	8.95	1.12
11-Dec-2	40.63	24.04	25.39	8.67	1.16
11-Dec-3	36.95	26.13	25.46	10.06	1.32
11-Dec-4	36.83	25.8	25.44	10.49	1.35
11-Dec-5	40.85	23.78	24.95	9.16	1.17
11-Dec-6	41.04	23.61	24.94	9.14	1.18
11-Dec-7	41.42	23.73	24.72	8.84	1.2
11-Dec-8	40.92	23.74	25.07	8.94	1.24
11-Dec-9	40.98	23.59	25.34	8.76	1.24
11-Dec-10	36.85	25.92	25.35	10.44	1.35
11-Dec-11	36.54	25.19	26.65	10.18	1.35
11-Dec-12	39.77	23.35	26.74	8.91	1.15
11-Dec-13	41.39	23.39	24.98	8.95	1.21
11-Dec-14	41.09	23.64	25.01	8.96	1.21
11-Dec-15	40.58	24.14	25.16	8.79	1.24
11-Dec-16	41	23.93	25.13	8.58	1.27
11-Dec-17	37.11	26.12	25.24	10.02	1.43
11-Dec-18	37.19	25.81	25.32	10.14	1.45
11-Dec-19	40.62	24.31	24.95	8.8	1.23
11-Dec-20	40.6	24.09	25.16	8.79	1.28
11-Dec-21	40.49	24.48	25.03	8.64	1.27
11-Dec-22	39.92	24.75	25.24	8.69	1.3
11-Dec-23	39.83	25.09	24.92	8.7	1.37
11-Dec-24	39.02	25.65	24.09	9.73	1.43
11-Dec-25	38.62	25.8	24.36	9.56	1.57
11-Dec-26	40.12	25.1	24.33	9.03	1.35
11-Dec-27	41.76	24.06	24.18	8.68	1.24
11-Dec-28	41.71	24.17	24.17	8.63	1.24
11-Dec-29	41.89	24.15	24.04	8.6	1.23
11-Dec-30	41.23	24.41	24.15	8.86	1.27
11-Dec-31	40.41	24.61	23.95	9.7	1.24
12-Jan-1	39.01	24.9	24.48	10.24	1.3
12-Jan-2	40.19	24.5	24.34	9.75	1.15
12-Jan-3	42	23.77	24.17	8.88	1.11
12-Jan-4	41.69	24.04	24.28	8.77	1.13
12-Jan-5	41.13	24.44	24.39	8.79	1.16
12-Jan-6	41.27	24.48	24.34	8.62	1.21
12-Jan-7	37.72	26.29	24.43	10.18	1.3
12-Jan-8	37.37	26.31	24.53	10.36	1.36
12-Jan-9	40.12	24.71	24.69	9.24	1.16
12-Jan-10	39.19	25.37	24.96	9.21	1.18
